,destination,odds,player,probability,date
0,Man Utd,0.25,David De Gea,0.8,2019-06-24
1,PSG,0.8,David De Gea,0.5555555555555556,2019-06-24
2,Real Madrid,7.0,David De Gea,0.125,2019-06-24
3,Barcelona,16.0,David De Gea,0.058823529411764705,2019-06-24
4,Juventus,10.0,David De Gea,0.09090909090909091,2019-06-24
5,Atletico Madrid,16.0,David De Gea,0.058823529411764705,2019-06-24
0,Not to sign or agree a contract with any other club,0.5,Neymar,0.6666666666666666,2019-06-24
1,Barcelona,1.0,Neymar,0.5,2019-06-24
2,Real Madrid,3.5,Neymar,0.2222222222222222,2019-06-24
3,Man City,20.0,Neymar,0.047619047619047616,2019-06-24
4,Man Utd,11.0,Neymar,0.08333333333333333,2019-06-24
0,Man Utd,0.1,Aaron Wan Bissaka,0.9090909090909091,2019-06-24
1,Tottenham,9.0,Aaron Wan Bissaka,0.1,2019-06-24
2,Man City,10.0,Aaron Wan Bissaka,0.09090909090909091,2019-06-24
3,Bayern Munich,33.0,Aaron Wan Bissaka,0.029411764705882353,2019-06-24
4,Arsenal,25.0,Aaron Wan Bissaka,0.038461538461538464,2019-06-24
5,Borussia Dortmund,33.0,Aaron Wan Bissaka,0.029411764705882353,2019-06-24
6,Everton,33.0,Aaron Wan Bissaka,0.029411764705882353,2019-06-24
0,Arsenal,2.0,Adrian Rabiot,0.3333333333333333,2019-06-24
1,Liverpool,6.0,Adrian Rabiot,0.14285714285714285,2019-06-24
2,Chelsea,12.0,Adrian Rabiot,0.07692307692307693,2019-06-24
3,Man Utd,12.0,Adrian Rabiot,0.07692307692307693,2019-06-24
4,Tottenham,12.0,Adrian Rabiot,0.07692307692307693,2019-06-24
5,PSG,12.0,Adrian Rabiot,0.07692307692307693,2019-06-24
6,Juventus,14.0,Adrian Rabiot,0.06666666666666667,2019-06-24
7,AC Milan,14.0,Adrian Rabiot,0.06666666666666667,2019-06-24
8,Bayern Munich,16.0,Adrian Rabiot,0.058823529411764705,2019-06-24
9,Inter Milan,16.0,Adrian Rabiot,0.058823529411764705,2019-06-24
10,Lyon,16.0,Adrian Rabiot,0.058823529411764705,2019-06-24
11,Marseille,16.0,Adrian Rabiot,0.058823529411764705,2019-06-24
0,Betis,0.7272727272727273,Aleksandar Mitrovic,0.5789473684210527,2019-06-24
1,West Ham,2.25,Aleksandar Mitrovic,0.3076923076923077,2019-06-24
2,Roma,4.0,Aleksandar Mitrovic,0.2,2019-06-24
3,Inter,7.0,Aleksandar Mitrovic,0.125,2019-06-24
4,Wolves,10.0,Aleksandar Mitrovic,0.09090909090909091,2019-06-24
5,Everton,3.0,Aleksandar Mitrovic,0.25,2019-06-24
6,Southampton,10.0,Aleksandar Mitrovic,0.09090909090909091,2019-06-24
7,Crystal Palace,16.0,Aleksandar Mitrovic,0.058823529411764705,2019-06-24
8,Tottenham,16.0,Aleksandar Mitrovic,0.058823529411764705,2019-06-24
9,Watford,20.0,Aleksandar Mitrovic,0.047619047619047616,2019-06-24
10,Brighton,25.0,Aleksandar Mitrovic,0.038461538461538464,2019-06-24
0,Atletico Madrid,0.36363636363636365,Alex Telles,0.7333333333333333,2019-06-24
1,Bayern Munich,14.0,Alex Telles,0.06666666666666667,2019-06-24
2,Chelsea,14.0,Alex Telles,0.06666666666666667,2019-06-24
3,Juventus,14.0,Alex Telles,0.06666666666666667,2019-06-24
4,Liverpool,14.0,Alex Telles,0.06666666666666667,2019-06-24
5,PSG,14.0,Alex Telles,0.06666666666666667,2019-06-24
6,Tottenham,14.0,Alex Telles,0.06666666666666667,2019-06-24
0,Newcastle,3.0,Alfredo Morelos,0.25,2019-06-24
1,Betis,3.0,Alfredo Morelos,0.25,2019-06-24
2,Lille,5.0,Alfredo Morelos,0.16666666666666666,2019-06-24
3,Marseille,7.0,Alfredo Morelos,0.125,2019-06-24
4,West Ham,12.0,Alfredo Morelos,0.07692307692307693,2019-06-24
5,Any Chinese Super League side,14.0,Alfredo Morelos,0.06666666666666667,2019-06-24
6,Leicester,14.0,Alfredo Morelos,0.06666666666666667,2019-06-24
7,Fenerbahce,16.0,Alfredo Morelos,0.058823529411764705,2019-06-24
8,FSV Frankfurt,20.0,Alfredo Morelos,0.047619047619047616,2019-06-24
9,Borussia Dortmund,14.0,Alfredo Morelos,0.06666666666666667,2019-06-24
10,Bayer Leverkusen,20.0,Alfredo Morelos,0.047619047619047616,2019-06-24
11,Crystal Palace,20.0,Alfredo Morelos,0.047619047619047616,2019-06-24
12,Everton,20.0,Alfredo Morelos,0.047619047619047616,2019-06-24
13,Valencia,16.0,Alfredo Morelos,0.058823529411764705,2019-06-24
